"","Eta2","P-value"
"decivre",0.903227602788322,1.07622042220727e-22
"cesar",0.875593369330098,5.25382666671986e-20
"decies",0.864048330834547,4.65024913944292e-19
"cesar",0.855205754075348,2.18195473744315e-18
"apostle",0.811358486197157,1.39832570226917e-15
"decius",0.80730032637574,2.34682560190712e-15
"lorent",0.790842972192849,1.71686157200942e-14
"apostres",0.779709791831559,6.02898653377953e-14
"qil",0.762037313328165,3.88794595036625e-13
"que",0.753530349941706,9.06166917867741e-13
"lorenc",0.741682936220272,2.80140233900258e-12
"ualerien",0.720800064823501,1.80384982367452e-11
"sacrefie",0.707542530609899,5.45779863762575e-11
"lorenz",0.705062880470599,6.67365285229134e-11
"apostre",0.702522967556806,8.18506420981827e-11
"dont",0.679692853934714,4.73409745342840e-10
"un",0.677460113906073,5.57977638972562e-10
"u",0.676032114972351,6.19425999154608e-10
"faire",0.67150064911051,8.60098651357073e-10
"decier",0.66766354917198,1.13136789126875e-09
